NestID,Year,Date.Found,Date.Finish,Fate,Study.Area,UTM Zone,UTM E,UTM N,Per.Bare.Ground,Mean.Robel
144_2016,2016,65,76,Success,West,11,753561,4483521,70,1
145_2016,2016,69,79,Raven,GSL,12,403786,4549096,70,3.333333333
146_2016,2016,69,71,Success,West,12,290976,4422353,20,3.666666667
147_2016,2016,69,77,Success,West,12,290839,4422009,70,3.333333333
148_2016,2016,69,75,Success,West,12,291333,4422280,70,3.666666667
149_2016,2016,70,80,Success,West,12,246563,4485217,70,2.666666667
150_2016,2016,70,76,Success,West,11,754068,4484657,30,3
151_2016,2016,77,81,Success,GSL,12,401392,4513720,50,2.666666667
152_2016,2016,77,83,Success,West,11,752892,4483401,10,1.666666667
153_2016,2016,79,85,Success,West,12,292838,4421407,70,2.666666667
154_2016,2016,86,96,Success,West,12,292917,4421310,60,2.666666667
1_2017,2017,3,6,Gull,GSL,12,405136,4548900,80,1.666666667
2_2017,2017,5,11,Coyote,West,12,293819,4421421,10,2.333333333
3_2017,2017,5,8,Gull,GSL,12,293844,4422166,60,2.666666667
4_2017,2017,5,12,Other,West,12,293814,4422435,20,3.666666667
5_2017,2017,5,14,Other,West,12,294189,4424886,30,2.333333333
6_2017,2017,5,10,Raven,West,12,293681,4422180,20,3.666666667
7_2017,2017,5,11,Raven,West,12,405228,4548874,50,1.666666667
8_2017,2017,5,10,Raven,West,12,293659,4422366,10,3.666666667
9_2017,2017,5,10,Raven,West,12,293997,4426693,70,3
10_2017,2017,5,10,Raven,West,12,291880,4421235,20,1.666666667
11_2017,2017,5,10,Raven,West,12,292128,4422954,60,2
12_2017,2017,7,13,Gull,GSL,12,405256,4548938,100,1.333333333
13_2017,2017,7,8,Gull,GSL,12,401093,4514531,100,1.333333333
14_2017,2017,7,10,Raven,GSL,12,400997,4514611,90,1
15_2017,2017,10,16,Gull,GSL,12,405482,4549000,90,1.333333333
16_2017,2017,12,18,Other,West,12,293994,4421716,70,2.666666667
17_2017,2017,12,15,Other,West,12,293917,4422022,40,4
18_2017,2017,12,14,Raven,West,12,295083,4425571,40,3.333333333
19_2017,2017,13,18,Gull,GSL,12,295287,4424738,30,1.666666667
20_2017,2017,13,16,Gull,GSL,12,405470,4548923,80,1.666666667
21_2017,2017,13,16,Other,West,12,403757,4549206,50,1.333333333
22_2017,2017,13,19,Raven,GSL,12,405488,4548894,30,1.333333333
23_2017,2017,13,16,Raven,GSL,12,400139,4512058,50,1.666666667
24_2017,2017,13,25,Raven,West,12,295436,4424162,70,1.666666667
25_2017,2017,14,21,Fox,West,11,754301,4483247,30,2.666666667
26_2017,2017,14,20,Raven,West,12,246601,4491904,80,2.333333333
27_2017,2017,14,21,Raven,West,12,292228,4423366,50,3
28_2017,2017,17,21,Raven,West,11,752327,4490717,40,3.333333333
29_2017,2017,18,34,Success,West,11,753410,4484381,80,3.333333333
30_2017,2017,19,25,Raven,West,12,290416,4420907,50,3.666666667
31_2017,2017,19,25,Raven,GSL,12,399780,4511754,100,1.333333333
